FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Engine 163/Ladder 83,875 Jewett Avenue,Staten Island,10314,40.615251,-74.130971,1,50,151,"5,010,816","5,003,770,018",Westerleigh                                                                
Engine 153/Ladder 77,74 Broad Street,Staten Island,10304,40.625167,-74.077772,1,49,27,"5,013,836","5,005,290,009",Stapleton-Rosebank                                                         
Engine 165/Ladder 85,3067 Richmond Road,Staten Island,10306,40.575827,-74.123727,2,50,181,"5,023,532","5,009,490,001",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Engine 157/Ladder 80,1573 Castleton Avenue,Staten Island,10302,40.636052,-74.135343,1,49,207,"5,025,442","5,010,800,002",Port Richmond                                                              
Engine 158,65 Harbor Road,Staten Island,10303,40.635547,-74.160224,1,49,223,"5,027,755","5,012,270,025",Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Engine 166/Ladder 86,1400 Richmond Avenue,Staten Island,10314,40.614265,-74.157735,2,50,"29,104","5,031,692","5,016,120,005",New Springville-Bloomfield-Travis                                          
Engine 154/District Office 8/ Staten Island Borough Command,3730 Victory Boulevard,Staten Island,10314,40.598213,-74.180462,2,50,"29,102","5,041,882","5,026,650,025",New Springville-Bloomfield-Travis                                          
Engine 152/Battalion 21,256 Hylan Boulevard,Staten Island,10305,40.611873,-74.070467,1,49,8,"5,042,846","5,028,560,015",Stapleton-Rosebank                                                         
Engine 161/Ladder 81,278 Mc Clean Avenue,Staten Island,10305,40.596826,-74.070138,2,50,74,"5,045,654","5,031,080,025",Grasmere-Arrochar-Ft. Wadsworth                                            
Engine 160/Rescue 5/Division 8,1850 Clove Road,Staten Island,10304,40.607485,-74.089111,2,50,50,"5,046,179","5,031,530,038",Grasmere-Arrochar-Ft. Wadsworth                                            
Engine 159,1592 Richmond Road,Staten Island,10304,40.590935,-74.100895,2,50,"9,602","5,048,682","5,033,060,008",Old Town-Dongan Hills-South Beach                                          
Engine 162/Ladder 82/Battalion 23,256 Nelson Avenue,Staten Island,10308,40.543205,-74.147097,3,51,"15,601","5,067,428","5,052,710,031",Great Kills                                                                
Engine 167/Ladder 87,345 Annadale Road,Staten Island,10312,40.554174,-74.175809,3,51,"17,012","5,075,428","5,056,420,006",Annadale-Huguenot-Prince's Bay-Eltingville                                 
Engine 164/Ladder 84,1560 Drumgoole Road West,Staten Island,10312,40.535332,-74.195611,3,51,"20,804","5,083,491","5,068,280,065",Rossville-Woodrow                                                          
Engine 168/EMS Station 23,1100 Rossville Avenue,Staten Island,10309,40.553977,-74.212812,3,51,"20,801","5,154,879","5,070,670,252",Rossville-Woodrow                                                          
Engine 151/Ladder 76,7219 Amboy Road,Staten Island,10307,40.512518,-74.238822,3,51,248,"5,089,056","5,080,400,010",Charleston-Richmond Valley-Tottenville                                     
