StateAB,County,Population,EQ_Loss,EQ_pca,EQ_risk,Fire_Loss,Fire_pca,Fire_risk,Flood_Loss,Flood_pca,Flood_risk,Hurricane_Loss,Hurricane_pca,Hurricane_risk,Mud_Loss,Mud_pca,Mud_risk,Other_Loss,Other_pca,Other_risk,Storm_Loss,Storm_pca,Storm_risk,Tornado_Loss,Tornado_pca,Tornado_risk
IN,Martin,10334,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6672.87,0.645719954,2,0,0,1
TX,Montgomery,455746,0,0,1,197137.33,0.432559649,2,15463515.6,33.93011809,2,19956634.35,43.78894022,2,0,0,1,0,0,1,229453.97,0.503468972,2,0,0,1
AR,Union,41639,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,15024.84,0.360835755,2,0,0,1
WI,La Crosse,114638,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,118522.8,1.033887542,2,0,0,1
GA,Montgomery,9123,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9520.5,1.043571194,2,0,0,1
GA,Tattnall,25520,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,37212.29,1.458161834,2,0,0,1
WA,Snohomish,713335,0,0,1,0,0,1,1084341.27,1.520101032,2,0,0,1,3015699.63,4.227606426,10,0,0,1,1044292.11,1.463957481,2,0,0,1
MO,Schuyler,4431,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6562.8,1.481110359,2,0,0,1
NE,Gage,22311,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33561.51,1.504258438,2,0,0,1
OK,Garvin,27576,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,41622.67,1.509380258,2,0,0,1
TX,Kendall,33410,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,50605.19,1.514671955,2,0,0,1
MT,Flathead,90928,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,138541.56,1.523640243,2,0,0,1
KY,Jackson,13494,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,20780.28,1.539964429,2,0,0,1
FL,Lee,618754,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,956947.49,1.546571804,2,0,0,1
KY,Edmonson,12161,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,17588.26,1.446284023,2,0,0,1
KY,Daviess,96656,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,154866.59,1.602244972,2,0,0,1
IA,Monona,9243,0,0,1,0,0,1,747721.78,80.89600563,2,0,0,1,0,0,1,0,0,1,15098.26,1.633480472,2,0,0,1
IN,Dearborn,50047,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,83028,1.659000539,2,0,0,1
MO,Barton,12402,0,0,1,0,0,1,2605.54,0.210090308,2,0,0,1,0,0,1,0,0,1,20796.03,1.676828737,2,0,0,1
NJ,Union,536499,0,0,1,0,0,1,0,0,1,45152081.86,84.16060768,2,0,0,1,0,0,1,910448.11,1.697017348,2,0,0,1
WA,King,1931249,0,0,1,0,0,1,2960015.36,1.532694831,2,0,0,1,0,0,1,0,0,1,3289894.16,1.703505949,2,0,0,1
MT,Madison,7691,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,13521.01,1.758030165,2,0,0,1
MO,Cass,99478,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,175059.08,1.759776835,2,0,0,1
MS,Simpson,27503,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,48869.81,1.776890157,2,0,0,1
WI,Kenosha,166426,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,306865.84,1.84385757,2,0,0,1
MS,Grenada,21906,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,35578.18,1.624129462,2,0,0,1
MS,Prentiss,25276,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,26272.97,1.039443345,2,0,0,1
WV,Monroe,13502,0,0,1,0,0,1,338712.87,25.08612576,2,0,0,1,0,0,1,0,0,1,19489.64,1.443463191,2,0,0,1
IN,Orange,19840,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,28530.91,1.438049899,2,0,0,1
NC,Alamance,151131,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,160044.23,1.058976848,2,0,0,1
GA,Coweta,127317,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,136050.16,1.068593825,2,0,0,1
NY,Herkimer,64519,0,0,1,0,0,1,0,0,1,551698.76,8.550950263,2,0,0,1,0,0,1,69654.74,1.079600428,2,0,0,1
MO,Nodaway,23370,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25591.13,1.095041934,2,0,0,1
AL,Chambers,34215,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,37670.15,1.100983487,2,0,0,1
AR,Clark,22995,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25540.03,1.110677539,2,0,0,1
TX,Wilson,42918,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,48643.25,1.133399739,2,0,0,1
TX,Medina,46006,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,53584.34,1.164725036,2,0,0,1
AR,Yell,22185,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,26522.71,1.195524453,2,0,0,1
OK,Adair,22683,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,32637.9,1.43887052,2,0,0,1
OK,Stephens,45048,0,0,1,596777.5,13.24759146,2,0,0,1,0,0,1,0,0,1,0,0,1,54084.1,1.200588261,2,0,0,1
KY,Campbell,90336,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,112649.98,1.247010937,2,0,0,1
OK,Mayes,41259,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,52222.2,1.265716571,2,0,0,1
TX,Ellis,149610,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,189824.89,1.268798142,2,0,0,1
NY,Fulton,55531,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,71472.19,1.287068304,2,0,0,1
NY,Erie,919040,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1199053.13,1.304680025,2,0,0,1
TN,Putnam,72321,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,97067.77,1.342179588,2,0,0,1
NJ,Burlington,448734,0,0,1,0,0,1,0,0,1,8466623.49,18.86780028,2,0,0,1,0,0,1,603965.77,1.345932713,2,0,0,1
IN,Henry,49462,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,70262.24,1.4205297,2,0,0,1
